B 100
I 61 185
I 171 44
I 149 98
I 2 194
I 120 42
I 162 155
I 121 175
I 190 178
I 10 173
I 79 168
I 117 120
I 176 34
I 109 194
I 25 195
I 178 96
I 80 101
I 156 57
I 189 26
I 153 179
I 101 189
I 34 189
I 24 117
I 127 145
I 84 172
I 36 79
I 54 160
I 3 122
I 61 10
I 82 96
I 136 101
I 188 13
I 99 28
I 79 140
I 193 7
I 10 103
I 11 146
I 25 22
I 12 138
I 17 186
I 121 169
I 81 22
I 110 185
I 55 57
I 82 122
I 139 82
I 195 197
I 130 1
I 141 135
I 153 12
I 20 84
I 156 78
I 5 15
I 84 131
I 190 143
I 89 54
I 163 14
I 113 144
I 163 103
I 117 66
I 156 80
I 121 195
I 114 5
I 83 131
I 69 176
I 164 112
I 29 194
I 131 82
I 95 99
I 192 42
I 191 115
I 181 23
I 149 146
I 6 72
I 80 142
I 163 153
I 168 34
I 35 157
I 144 46
I 173 159
I 54 8
I 77 3
I 126 106
I 190 168
I 1 16
I 88 76
I 183 70
I 9 14
I 75 167
I 93 92
I 60 170
B 100
I 63 51
I 19 165
I 197 83
I 38 94
I 187 156
I 171 184
I 180 177
I 13 187
I 132 20
I 0 29
I 95 88
I 128 182
I 13 163
I 118 155
I 52 42
I 55 58
I 169 35
I 153 195
I 45 83
I 126 145
I 82 93
I 82 52
I 198 19
I 158 64
I 135 74
I 37 61
I 86 186
I 11 156
I 69 118
I 156 172
I 81 167
I 68 27
I 4 1
I 60 164
I 12 26
I 172 19
I 162 97
I 61 174
I 164 81
I 87 182
I 129 61
I 36 12
I 172 35
I 178 152
I 15 157
I 183 178
I 127 47
I 77 185
I 171 146
I 140 195
I 78 168
I 71 112
I 149 156
I 147 48
I 151 36
I 155 72
I 110 190
I 35 148
I 103 176
I 111 138
I 42 175
I 128 92
I 179 167
I 57 192
I 84 135
I 157 189
I 137 43
I 167 42
I 171 5
I 151 89
I 141 194
I 21 66
I 127 32
I 64 125
I 192 136
I 13 180
I 162 13
I 94 199
I 139 113
I 144 172
I 31 139
I 94 30
I 87 17
I 13 102
I 55 196
I 2 115
I 28 166
I 73 23
I 166 77
I 121 14
I 171 172
I 169 98
I 139 171
I 176 160
I 165 21
I 128 94
I 49 95
I 153 131
I 26 42
I 61 59
B 100
I 136 62
I 47 169
I 146 18
I 23 149
I 196 121
I 109 107
I 185 115
I 166 51
I 137 7
I 185 40
I 144 143
I 77 93
I 5 122
I 155 25
I 123 45
I 138 45
I 121 79
I 25 177
I 27 158
I 194 170
I 183 193
I 86 194
I 107 84
I 99 10
I 172 150
I 135 82
I 172 32
I 184 34
I 176 34
I 103 151
I 64 15
I 16 2
I 195 118
I 193 42
I 60 102
I 35 22
I 187 42
I 66 30
I 26 22
I 172 101
I 169 162
I 92 91
I 133 153
I 190 109
I 86 72
I 29 182
I 191 27
I 114 51
I 146 82
I 81 193
I 168 112
I 156 34
I 126 4
I 45 6
I 36 99
I 122 36
I 99 97
I 199 47
I 195 163
I 73 185
I 24 165
I 172 107
I 42 151
I 3 138
I 107 57
I 72 50
I 149 112
I 91 114
I 154 23
I 161 126
I 111 140
I 197 54
I 54 184
I 74 164
I 162 194
I 190 110
I 9 4
I 184 165
I 72 51
I 180 122
I 149 132
I 166 92
I 118 77
I 140 96
I 189 184
I 190 167
I 194 47
I 169 91
I 18 131
I 147 121
I 32 47
I 192 83
I 128 15
I 29 22
I 72 156
I 78 37
I 38 116
I 31 14
I 166 181
I 178 177
B 100
I 101 191
I 173 28
I 148 94
I 151 158
I 54 40
I 100 53
I 159 29
I 175 174
I 154 112
I 154 73
I 5 161
I 43 25
I 17 135
I 199 150
I 3 13
I 66 92
I 115 118
I 37 42
I 4 65
I 82 138
I 86 97
I 122 134
I 67 87
I 78 71
I 47 122
I 151 142
I 30 156
I 106 58
I 128 43
I 165 9
I 61 7
I 114 177
I 179 169
I 11 199
I 135 21
I 73 140
I 122 71
I 149 56
I 63 169
I 57 156
I 61 56
I 133 105
I 149 45
I 155 47
I 198 14
I 193 183
I 87 7
I 180 34
I 109 66
I 153 125
I 41 4
I 144 57
I 151 188
I 59 5
I 14 127
I 70 42
I 19 67
I 167 113
I 82 139
I 171 5
I 42 56
I 11 192
I 98 192
I 88 131
I 155 95
I 132 2
I 23 164
I 160 70
I 2 193
I 186 137
I 1 122
I 165 155
I 1 84
I 124 0
I 188 155
I 74 98
I 107 108
I 131 10
I 127 124
I 86 85
I 22 182
I 122 97
I 74 153
I 5 28
I 39 167
I 96 71
I 26 49
I 185 127
I 187 181
I 101 169
I 186 156
I 53 66
I 75 182
I 129 1
I 97 146
I 149 157
I 11 121
I 59 112
I 76 189
I 146 57
B 100
I 198 149
I 167 43
I 64 161
I 107 44
I 28 69
I 192 81
I 139 151
I 51 106
I 41 132
I 12 145
I 180 82
I 171 16
I 77 62
I 198 108
I 104 162
I 3 86
I 162 137
I 18 164
I 34 66
I 185 53
I 98 157
I 161 196
I 175 190
I 65 160
I 123 3
I 126 192
I 52 148
I 68 29
I 36 83
I 82 44
I 65 24
I 185 81
I 167 179
I 107 169
I 68 161
I 70 19
I 26 102
I 133 178
I 75 4
I 25 21
I 99 148
I 27 187
I 48 151
I 138 30
I 91 63
I 79 28
I 92 41
I 19 122
I 84 51
I 105 168
I 183 110
I 194 112
I 71 15
I 0 56
I 57 143
I 64 68
I 58 22
I 170 16
I 47 167
I 136 182
I 67 139
I 25 195
I 175 187
I 49 21
I 50 185
I 140 25
I 189 49
I 11 169
I 63 112
I 79 190
I 126 183
I 106 59
I 85 58
I 70 26
I 178 134
I 192 193
I 154 110
I 32 130
I 12 105
I 168 163
I 185 129
I 129 90
I 165 49
I 194 46
I 50 116
I 152 80
I 116 112
I 158 38
I 174 13
I 63 171
I 32 100
I 73 131
I 38 90
I 97 103
I 18 146
I 126 66
I 194 144
I 140 177
I 30 23
I 44 51
B 100
I 101 6
I 128 111
I 61 20
I 139 171
I 50 112
I 14 165
I 168 170
I 139 198
I 105 146
I 42 199
I 102 82
I 64 167
I 12 55
I 182 90
I 95 111
I 51 99
I 21 70
I 6 86
I 131 101
I 107 142
I 85 66
I 35 94
I 127 134
I 127 47
I 97 21
I 178 21
I 49 141
I 11 23
I 6 45
I 60 148
I 125 4
I 136 113
I 52 184
I 135 51
I 106 174
I 126 59
I 84 83
I 12 176
I 99 77
I 27 55
I 100 154
I 127 80
I 108 125
I 29 169
I 7 190
I 141 187
I 18 117
I 34 127
I 73 109
I 15 86
I 21 152
I 141 197
I 119 0
I 175 190
I 144 122
I 120 173
I 138 110
I 177 38
I 61 27
I 32 34
I 158 134
I 192 15
I 157 176
I 132 112
I 0 59
I 99 164
I 109 49
I 46 26
I 137 148
I 32 178
I 72 133
I 87 105
I 127 178
I 39 168
I 39 135
I 191 113
I 182 36
I 49 156
I 137 32
I 38 61
I 172 160
I 9 93
I 111 42
I 82 25
I 181 18
I 31 113
I 94 183
I 95 39
I 43 156
I 47 127
I 158 189
I 102 96
I 122 7
I 158 64
I 64 3
I 5 171
I 149 118
I 78 192
I 133 67
I 44 184
B 100
I 136 112
I 60 111
I 137 121
I 95 90
I 25 102
I 128 113
I 162 115
I 52 194
I 136 41
I 131 44
I 199 31
I 149 192
I 17 173
I 12 197
I 47 28
I 160 132
I 153 11
I 120 92
I 165 20
I 171 124
I 173 15
I 141 170
I 156 145
I 67 50
I 158 27
I 161 149
I 140 194
I 136 170
I 120 184
I 171 196
I 84 27
I 108 144
I 29 103
I 10 182
I 89 164
I 141 74
I 107 75
I 63 16
I 127 64
I 50 182
I 126 48
I 70 33
I 70 76
I 116 30
I 119 195
I 71 28
I 143 116
I 24 158
I 63 0
I 94 23
I 28 163
I 115 170
I 101 179
I 167 141
I 173 61
I 12 53
I 115 12
I 62 12
I 42 91
I 168 157
I 32 52
I 77 64
I 52 42
I 121 21
I 21 145
I 50 56
I 161 139
I 160 79
I 165 58
I 104 172
I 179 112
I 171 3
I 155 16
I 119 146
I 142 160
I 107 145
I 173 137
I 27 14
I 145 60
I 194 30
I 46 145
I 50 31
I 121 13
I 24 191
I 62 138
I 88 86
I 60 22
I 189 185
I 27 47
I 62 80
I 9 42
I 15 157
I 142 120
I 189 137
I 97 111
I 20 35
I 106 70
I 67 149
I 176 182
I 112 128
B 100
I 183 26
I 77 41
I 78 194
I 165 82
I 111 22
I 162 118
I 199 111
I 61 152
I 85 42
I 107 199
I 78 159
I 118 168
I 110 29
I 24 71
I 167 8
I 133 111
I 141 194
I 76 62
I 5 199
I 179 167
I 98 25
I 59 111
I 135 30
I 199 169
I 153 161
I 43 144
I 149 32
I 131 42
I 50 3
I 62 137
I 8 6
I 109 144
I 185 151
I 160 88
I 72 96
I 64 13
I 13 92
I 135 111
I 164 15
I 148 186
I 56 173
I 179 29
I 5 92
I 146 83
I 111 10
I 193 99
I 92 65
I 118 155
I 184 186
I 139 89
I 90 49
I 50 180
I 120 119
I 115 192
I 192 83
I 170 35
I 128 165
I 127 157
I 80 83
I 131 41
I 123 66
I 156 160
I 1 172
I 76 197
I 185 24
I 3 161
I 142 5
I 188 198
I 83 81
I 155 15
I 79 104
I 118 56
I 87 180
I 185 28
I 44 179
I 32 73
I 59 145
I 6 53
I 116 66
I 149 75
I 147 19
I 192 161
I 117 59
I 198 93
I 30 34
I 121 18
I 152 192
I 39 121
I 125 164
I 5 146
I 60 134
I 46 66
I 165 77
I 16 32
I 52 84
I 33 70
I 127 152
I 192 52
I 122 92
I 42 82
B 100
I 153 22
I 99 130
I 54 92
I 181 123
I 198 118
I 104 108
I 42 26
I 146 127
I 188 29
I 59 25
I 89 152
I 27 53
I 48 181
I 79 178
I 148 89
I 157 67
I 83 48
I 136 174
I 58 67
I 136 151
I 148 113
I 109 87
I 100 10
I 186 190
I 191 91
I 64 143
I 140 115
I 172 168
I 124 28
I 150 91
I 105 80
I 40 46
I 119 0
I 177 13
I 154 195
I 103 85
I 180 9
I 29 156
I 7 190
I 132 38
I 63 38
I 51 50
I 178 183
I 137 133
I 152 34
I 130 171
I 58 5
I 83 19
I 195 153
I 73 98
I 114 133
I 173 7
I 89 118
I 167 65
I 13 7
I 197 48
I 189 153
I 187 101
I 173 1
I 185 85
I 128 108
I 181 141
I 27 179
I 195 37
I 27 44
I 178 49
I 115 32
I 193 82
I 160 6
I 109 188
I 87 183
I 141 126
I 19 103
I 14 135
I 22 55
I 118 195
I 174 195
I 21 180
I 88 183
I 101 61
I 175 9
I 106 185
I 57 13
I 141 25
I 149 127
I 85 32
I 74 2
I 13 102
I 155 112
I 29 22
I 37 73
I 90 33
I 137 146
I 152 180
I 131 158
I 109 162
I 197 114
I 86 119
I 112 30
I 84 179
B 100
I 35 159
I 126 88
I 37 74
I 138 13
I 53 105
I 25 99
I 96 107
I 96 101
I 195 20
I 110 83
I 150 1
I 139 0
I 38 23
I 84 43
I 73 195
I 59 182
I 36 133
I 110 89
I 30 73
I 194 103
I 85 93
I 76 69
I 75 81
I 120 137
I 113 25
I 136 113
I 38 169
I 24 18
I 50 127
I 111 10
I 88 73
I 177 140
I 27 16
I 151 159
I 153 130
I 74 2
I 7 3
I 66 153
I 88 98
I 24 179
I 132 10
I 10 51
I 160 15
I 125 66
I 1 151
I 170 18
I 25 176
I 48 184
I 61 157
I 37 42
I 126 171
I 109 27
I 77 47
I 0 64
I 133 10
I 20 67
I 6 110
I 175 186
I 118 120
I 143 3
I 106 170
I 91 142
I 64 115
I 23 28
I 163 37
I 139 179
I 48 195
I 98 121
I 43 71
I 53 111
I 42 190
I 172 35
I 80 158
I 3 50
I 50 122
I 25 122
I 171 193
I 142 197
I 126 27
I 194 123
I 197 193
I 12 45
I 52 163
I 3 72
I 55 38
I 30 154
I 164 85
I 100 52
I 192 15
I 158 28
I 157 136
I 126 195
I 117 159
I 52 193
I 159 65
I 159 181
I 88 193
I 127 15
I 133 146
I 60 81
B 100
I 133 11
I 73 199
I 148 193
I 72 0
I 122 193
I 148 39
I 175 114
I 128 161
I 148 81
I 150 7
I 89 112
I 171 58
I 50 107
I 35 128
I 43 71
I 126 106
I 73 58
I 120 34
I 86 43
I 61 22
I 117 52
I 192 169
I 57 74
I 187 197
I 26 70
I 30 39
I 38 52
I 163 15
I 197 153
I 194 98
I 38 8
I 5 6
I 41 122
I 114 5
I 154 140
I 74 6
I 24 99
I 13 10
I 50 58
I 117 135
I 24 29
I 22 62
I 92 117
I 117 45
I 63 103
I 138 171
I 48 192
I 38 163
I 169 43
I 165 157
I 46 149
I 20 11
I 19 103
I 39 29
I 56 102
I 171 198
I 10 181
I 9 45
I 127 113
I 117 40
I 12 170
I 143 97
I 164 41
I 54 190
I 133 139
I 148 189
I 3 155
I 187 118
I 34 5
I 76 0
I 59 181
I 95 124
I 136 67
I 124 33
I 17 94
I 100 96
I 174 10
I 121 179
I 23 28
I 69 80
I 119 112
I 89 75
I 52 72
I 134 194
I 148 191
I 110 74
I 66 148
I 36 127
I 191 135
I 70 9
I 154 96
I 61 143
I 55 151
I 177 92
I 189 177
I 134 60
I 167 168
I 42 199
I 196 13
I 93 49
B 100
I 31 2
I 100 152
I 10 189
I 25 143
I 32 25
I 158 69
I 159 172
I 184 193
I 54 178
I 154 21
I 169 5
I 192 144
I 39 57
I 99 97
I 16 119
I 174 53
I 52 89
I 74 34
I 183 26
I 33 78
I 195 145
I 31 171
I 186 6
I 109 73
I 14 5
I 141 121
I 156 178
I 42 196
I 166 122
I 178 5
I 49 83
I 83 62
I 146 43
I 73 82
I 164 171
I 42 197
I 30 82
I 98 165
I 33 31
I 136 79
I 162 139
I 178 195
I 130 75
I 184 123
I 57 23
I 113 64
I 150 89
I 96 134
I 18 126
I 106 117
I 178 19
I 15 185
I 167 113
I 169 37
I 5 106
I 19 43
I 61 167
I 16 135
I 132 54
I 134 174
I 90 161
I 55 169
I 196 34
I 2 128
I 54 75
I 160 4
I 195 5
I 114 85
I 123 81
I 168 100
I 110 65
I 130 0
I 159 138
I 11 7
I 16 132
I 2 111
I 72 63
I 165 36
I 153 120
I 48 173
I 91 178
I 192 85
I 50 175
I 127 112
I 176 61
I 135 13
I 125 120
I 41 45
I 165 1
I 173 104
I 123 118
I 26 73
I 98 91
I 115 179
I 21 158
I 12 109
I 128 18
I 188 13
I 108 129
I 43 131
B 100
I 45 117
I 185 56
I 116 103
I 74 181
I 40 178
I 86 157
I 39 23
I 25 17
I 157 147
I 88 34
I 66 51
I 184 181
I 184 108
I 13 45
I 188 61
I 178 85
I 21 45
I 186 157
I 121 38
I 88 131
I 47 180
I 10 137
I 107 152
I 38 173
I 107 6
I 65 196
I 54 27
I 36 184
I 16 197
I 148 144
I 10 63
I 110 56
I 146 27
I 2 39
I 126 192
I 153 122
I 30 55
I 163 172
I 80 20
I 12 5
I 196 97
I 125 11
I 64 132
I 60 125
I 171 18
I 87 132
I 73 131
I 155 183
I 78 187
I 198 116
I 94 178
I 64 113
I 189 116
I 115 109
I 91 63
I 174 54
I 153 193
I 101 108
I 136 143
I 135 114
I 67 185
I 122 32
I 19 50
I 46 98
I 16 32
I 29 163
I 82 4
I 144 153
I 64 187
I 162 133
I 169 119
I 146 105
I 48 36
I 72 97
I 185 176
I 34 26
I 199 90
I 37 153
I 154 8
I 157 9
I 77 18
I 133 68
I 128 119
I 194 89
I 60 169
I 51 199
I 150 189
I 135 164
I 128 148
I 12 89
I 103 84
I 102 55
I 101 90
I 192 144
I 87 2
I 92 103
I 126 68
I 172 68
I 4 80
I 163 90
B 100
I 138 37
I 172 177
I 56 29
I 40 130
I 87 62
I 133 13
I 159 43
I 87 135
I 38 64
I 132 157
I 143 80
I 22 62
I 50 12
I 178 117
I 24 35
I 113 76
I 147 180
I 17 190
I 69 97
I 92 116
I 54 159
I 170 77
I 27 24
I 143 187
I 52 77
I 168 154
I 21 161
I 152 195
I 179 45
I 115 101
I 128 98
I 10 178
I 67 182
I 144 34
I 78 46
I 174 194
I 151 76
I 18 185
I 88 48
I 160 19
I 180 193
I 183 139
I 38 115
I 84 49
I 5 54
I 16 192
I 99 172
I 43 107
I 25 24
I 164 105
I 105 145
I 122 13
I 72 149
I 137 11
I 197 11
I 101 167
I 98 11
I 69 78
I 136 162
I 162 95
I 12 31
I 185 71
I 28 128
I 20 167
I 18 1
I 97 178
I 65 89
I 35 164
I 183 31
I 62 151
I 36 89
I 180 148
I 151 80
I 17 183
I 192 123
I 7 193
I 158 190
I 92 76
I 56 80
I 97 187
I 19 47
I 151 15
I 197 130
I 194 107
I 73 120
I 140 50
I 135 72
I 194 134
I 15 138
I 127 15
I 22 161
I 13 164
I 135 198
I 168 92
I 102 193
I 34 14
I 65 113
I 18 41
I 62 112
I 61 48
B 100
I 197 165
I 51 86
I 3 140
I 4 113
I 44 33
I 198 23
I 107 85
I 57 101
I 4 150
I 159 96
I 54 145
I 79 147
I 170 141
I 150 192
I 30 154
I 8 34
I 171 141
I 122 97
I 32 11
I 170 109
I 1 159
I 105 136
I 55 105
I 138 25
I 78 100
I 49 140
I 174 45
I 81 175
I 19 122
I 150 199
I 66 94
I 115 49
I 65 101
I 34 127
I 4 119
I 18 63
I 11 112
I 148 62
I 94 193
I 81 37
I 25 16
I 42 18
I 45 28
I 71 10
I 161 1
I 173 43
I 148 141
I 20 18
I 130 32
I 100 177
I 71 132
I 137 27
I 47 191
I 118 161
I 86 70
I 1 82
I 124 188
I 134 128
I 198 68
I 99 21
I 157 1
I 65 16
I 18 35
I 184 195
I 48 172
I 111 58
I 22 121
I 166 82
I 157 115
I 139 186
I 1 7
I 42 160
I 88 199
I 198 111
I 1 87
I 10 96
I 151 191
I 21 89
I 98 36
I 124 62
I 91 116
I 178 163
I 39 182
I 15 67
I 36 84
I 112 18
I 88 134
I 168 31
I 10 108
I 95 88
I 81 46
I 137 140
I 44 42
I 54 51
I 50 16
I 151 176
I 127 147
I 2 67
I 191 190
I 191 179
B 100
I 117 53
I 96 8
I 175 69
I 117 94
I 180 97
I 74 59
I 52 170
I 50 177
I 11 144
I 43 192
I 172 141
I 103 134
I 91 71
I 160 182
I 145 151
I 23 61
I 189 72
I 139 53
I 0 189
I 171 123
I 4 14
I 133 47
I 54 163
I 196 68
I 58 184
I 98 18
I 69 34
I 52 179
I 134 85
I 122 182
I 130 169
I 108 25
I 192 71
I 108 70
I 21 58
I 170 116
I 19 74
I 64 129
I 120 4
I 3 114
I 47 164
I 189 13
I 60 89
I 125 139
I 87 80
I 105 91
I 113 38
I 196 78
I 112 161
I 54 112
I 78 102
I 150 100
I 61 169
I 61 80
I 169 67
I 139 124
I 115 100
I 198 71
I 159 31
I 84 139
I 130 139
I 28 198
I 102 123
I 30 109
I 73 163
I 35 80
I 0 86
I 47 93
I 58 113
I 148 100
I 113 74
I 143 179
I 45 35
I 10 181
I 47 7
I 142 69
I 87 78
I 30 101
I 38 141
I 183 128
I 101 160
I 82 116
I 4 51
I 115 130
I 31 23
I 58 74
I 101 170
I 8 194
I 113 170
I 187 71
I 198 148
I 193 120
I 195 82
I 119 137
I 49 193
I 85 25
I 25 32
I 83 120
I 167 103
I 54 82
B 100
I 156 31
I 168 194
I 41 99
I 101 9
I 140 28
I 158 28
I 126 46
I 82 54
I 104 36
I 57 2
I 70 188
I 185 150
I 44 122
I 18 52
I 173 11
I 31 81
I 192 127
I 20 123
I 87 148
I 60 162
I 171 170
I 156 101
I 133 24
I 53 37
I 141 40
I 14 111
I 54 92
I 140 153
I 52 54
I 67 133
I 172 82
I 106 100
I 147 142
I 188 79
I 187 123
I 164 186
I 49 11
I 157 88
I 5 106
I 168 75
I 80 136
I 67 132
I 160 169
I 186 199
I 166 152
I 144 145
I 103 142
I 57 116
I 60 36
I 134 135
I 129 64
I 132 75
I 56 71
I 161 180
I 145 45
I 164 18
I 91 89
I 104 125
I 185 63
I 169 76
I 151 12
I 87 172
I 37 89
I 192 186
I 114 140
I 111 56
I 48 97
I 100 62
I 162 187
I 124 85
I 96 102
I 63 25
I 175 152
I 55 80
I 53 2
I 192 111
I 27 45
I 161 119
I 21 174
I 178 16
I 26 38
I 73 167
I 36 86
I 47 18
I 168 109
I 35 8
I 119 108
I 194 60
I 28 144
I 146 52
I 120 103
I 62 81
I 30 34
I 62 174
I 94 165
I 148 89
I 47 114
I 24 74
I 141 126
I 15 141
B 100
I 62 41
I 192 39
I 100 78
I 91 191
I 87 130
I 80 182
I 139 56
I 77 123
I 130 132
I 10 34
I 71 183
I 76 109
I 130 94
I 115 42
I 76 126
I 40 53
I 59 31
I 108 32
I 17 74
I 121 81
I 130 127
I 156 47
I 109 81
I 60 129
I 152 123
I 13 143
I 193 105
I 170 162
I 152 80
I 98 34
I 133 60
I 27 165
I 181 183
I 176 63
I 185 138
I 152 91
I 88 80
I 191 174
I 136 15
I 72 61
I 110 112
I 137 21
I 43 127
I 60 119
I 145 138
I 80 175
I 20 16
I 99 133
I 100 20
I 193 152
I 59 130
I 172 0
I 84 185
I 4 104
I 133 85
I 93 88
I 127 32
I 134 1
I 185 152
I 178 44
I 157 86
I 81 173
I 59 175
I 1 11
I 139 86
I 157 84
I 31 13
I 13 102
I 192 177
I 106 185
I 108 124
I 198 28
I 105 166
I 107 47
I 173 15
I 69 106
I 1 164
I 12 190
I 163 160
I 5 9
I 93 108
I 52 36
I 36 118
I 83 17
I 126 27
I 170 53
I 127 134
I 60 157
I 80 35
I 24 93
I 138 170
I 155 118
I 63 132
I 39 107
I 1 90
I 124 126
I 49 53
I 172 8
I 186 145
I 44 160
B 100
I 120 69
I 51 108
I 48 169
I 111 6
I 7 168
I 47 189
I 82 149
I 164 190
I 133 105
I 141 172
I 152 164
I 31 39
I 113 177
I 92 18
I 31 112
I 66 157
I 135 14
I 37 187
I 3 35
I 64 49
I 104 159
I 137 3
I 70 80
I 105 184
I 165 73
I 55 137
I 54 39
I 175 125
I 76 195
I 150 92
I 139 59
I 110 58
I 27 116
I 13 184
I 61 41
I 39 64
I 61 169
I 59 44
I 20 130
I 134 5
I 86 35
I 39 93
I 77 164
I 198 132
I 150 192
I 131 148
I 147 108
I 28 74
I 90 182
I 159 136
I 82 161
I 84 71
I 51 40
I 147 15
I 111 39
I 183 10
I 106 110
I 130 172
I 110 0
I 38 115
I 151 115
I 126 152
I 87 21
I 88 144
I 155 3
I 13 98
I 17 9
I 158 2
I 126 101
I 160 145
I 135 129
I 35 131
I 177 15
I 120 131
I 172 113
I 163 97
I 176 19
I 18 35
I 162 13
I 44 146
I 138 17
I 100 90
I 26 42
I 125 28
I 34 100
I 74 150
I 124 24
I 152 53
I 37 30
I 105 189
I 111 160
I 70 122
I 163 102
I 103 61
I 148 12
I 180 65
I 185 194
I 174 42
I 106 179
I 151 35
B 100
I 168 25
I 99 39
I 40 29
I 103 106
I 38 21
I 3 139
I 141 104
I 69 148
I 135 23
I 2 57
I 117 185
I 152 98
I 108 3
I 97 193
I 137 113
I 133 191
I 66 106
I 118 74
I 69 3
I 4 36
I 80 103
I 112 147
I 127 169
I 76 20
I 34 64
I 37 99
I 184 131
I 75 142
I 129 62
I 146 70
I 161 70
I 196 159
I 3 178
I 3 32
I 16 107
I 123 166
I 86 113
I 70 72
I 116 179
I 181 73
I 169 162
I 97 132
I 78 103
I 0 93
I 187 52
I 88 92
I 13 33
I 118 88
I 182 83
I 136 106
I 55 66
I 65 104
I 52 166
I 44 147
I 172 43
I 157 136
I 156 124
I 59 72
I 91 61
I 81 173
I 90 27
I 16 141
I 174 1
I 106 57
I 31 199
I 181 183
I 141 127
I 65 45
I 43 171
I 32 161
I 135 97
I 93 55
I 171 79
I 27 73
I 61 161
I 33 116
I 106 93
I 178 93
I 69 80
I 38 0
I 67 156
I 0 65
I 77 189
I 144 76
I 160 118
I 20 182
I 65 86
I 166 91
I 169 45
I 99 30
I 162 12
I 114 78
I 74 94
I 106 122
I 41 106
I 23 153
I 87 140
I 50 22
I 155 124
I 158 54
B 100
I 34 93
I 60 185
I 140 88
I 186 18
I 51 94
I 128 60
I 178 36
I 55 180
I 142 199
I 2 4
I 54 24
I 129 2
I 28 131
I 68 48
I 150 0
I 19 67
