B 10
I 441 564
I 1216 280
D 523 515
B 10
I 777 71
D 1081 1083
D 818 811
D 339 343
D 867 853
D 1281 1276
I 118 93
D 1044 1107
I 806 352
I 105 1258
B 10
D 516 508
D 1462 1474
D 607 609
D 1037 1031
D 646 634
I 984 1309
I 512 1169
I 1227 865
I 547 904
I 1452 1218
B 10
I 979 1104
D 1436 1438
I 1123 231
D 795 797
D 560 557
D 149 148
I 186 974
I 65 664
I 241 1212
D 1206 1221
B 10
I 472 1382
D 587 575
D 985 978
D 941 936
I 365 1261
D 1220 1203
I 124 1052
D 222 210
I 467 126
I 303 378
B 10
D 251 264
I 104 263
D 491 496
D 622 618
D 88 85
I 505 1483
I 1439 210
D 264 268
D 168 155
D 1200 1211
B 10
D 199 196
D 615 603
I 550 304
I 1347 269
D 22 23
D 976 984
D 1315 1308
D 836 829
I 555 1210
D 898 896
