B 1000
D 120 163
D 187 51
I 46 57
I 43 74
D 45 100
D 169 136
D 67 43
I 100 61
D 113 121
D 49 157
I 84 100
D 197 137
I 141 8
D 51 1
I 184 193
I 159 45
I 22 40
I 114 41
D 40 188
D 105 127
I 92 186
D 104 109
D 58 35
I 39 64
D 74 80
D 69 42
D 178 143
D 190 16
D 18 45
I 17 70
I 194 162
D 195 78
D 180 19
D 36 161
I 61 76
D 152 68
I 114 158
D 112 162
I 159 77
I 107 73
I 153 195
D 146 115
D 86 154
D 93 90
D 120 166
I 52 2
I 171 96
D 100 116
I 31 2
D 7 12
D 97 133
D 138 36
D 195 190
D 42 116
D 147 71
I 87 174
D 155 69
I 180 132
I 165 60
I 2 59
I 180 170
D 126 148
I 114 191
I 87 141
D 154 189
I 53 137
D 0 1
I 130 23
I 156 81
I 85 171
D 104 197
I 174 89
I 134 104
I 30 52
D 25 23
I 161 175
I 31 149
D 17 20
I 95 79
D 2 27
I 84 190
I 52 10
I 178 149
I 118 39
I 111 78
D 58 191
D 72 26
I 176 85
I 195 29
D 53 26
D 47 115
D 10 155
I 143 146
D 191 23
I 56 131
D 136 95
D 160 199
D 50 95
I 15 52
D 132 46
D 5 91
I 119 94
I 187 172
I 7 90
D 45 187
D 179 8
I 57 55
I 71 6
D 108 22
D 180 56
D 132 25
D 161 85
D 12 179
D 93 157
I 173 56
D 101 39
I 141 178
I 167 51
I 26 67
I 132 137
D 61 24
D 71 67
D 61 159
D 44 61
I 83 157
I 70 1
I 123 8
I 21 19
D 154 77
I 186 90
I 112 106
D 148 194
D 113 98
I 19 60
D 165 93
I 154 12
I 193 102
D 9 131
D 173 156
I 24 197
D 82 24
D 13 73
I 159 174
I 67 136
D 61 178
D 64 29
I 17 53
I 95 37
D 36 39
I 10 182
I 106 68
D 62 42
D 181 199
I 105 171
D 184 38
I 177 153
I 102 46
I 71 83
D 12 102
I 102 40
I 169 105
I 24 15
I 121 199
D 95 78
I 145 170
I 18 198
D 154 98
I 65 182
I 98 60
D 136 148
I 144 126
D 29 33
D 118 82
I 165 185
D 175 22
D 165 66
D 41 146
I 129 173
D 69 46
I 100 194
I 82 94
I 188 116
I 43 3
D 146 179
D 17 52
I 120 25
D 70 10
I 30 85
I 3 82
I 103 56
D 8 74
I 111 96
I 169 121
D 68 66
D 95 46
D 150 124
D 155 139
I 195 146
I 63 148
D 41 69
I 16 52
D 120 50
D 155 86
I 86 55
D 22 102
I 22 3
D 84 8
D 158 7
D 199 196
D 9 116
D 49 41
I 14 75
I 128 177
I 37 44
I 181 0
I 109 153
I 29 95
D 198 145
I 193 74
D 158 12
I 52 192
D 78 95
I 99 10
I 134 167
D 29 148
I 184 74
I 32 124
D 9 113
I 173 111
D 39 1
D 160 139
D 92 195
D 162 86
D 56 40
D 22 167
D 145 119
D 83 37
I 144 114
D 51 179
D 105 96
I 133 103
D 98 124
I 108 78
I 171 69
D 9 172
D 138 172
D 179 178
I 113 85
D 95 136
D 144 116
D 150 15
I 17 96
D 157 185
D 161 36
D 152 72
I 179 7
I 191 35
I 101 46
I 14 165
D 108 157
D 83 56
I 105 199
I 31 18
D 136 158
I 119 128
I 37 48
D 85 118
D 160 186
D 44 177
D 199 182
I 67 109
D 192 51
I 102 16
D 161 50
I 15 69
D 52 31
D 43 27
I 7 99
I 170 31
D 53 83
D 161 140
I 51 9
D 197 166
I 118 45
D 1 40
I 147 13
D 27 169
I 137 160
I 91 9
I 182 185
D 72 119
D 12 4
I 152 42
I 133 124
I 58 50
D 113 21
D 173 102
I 192 89
D 91 74
I 26 81
D 5 18
I 29 16
D 101 130
I 110 9
I 27 134
I 83 68
D 61 123
I 158 153
D 150 28
D 119 84
D 58 149
I 185 147
D 27 3
D 85 4
D 191 108
I 76 150
I 105 150
D 43 90
D 20 48
I 99 21
I 53 140
I 134 30
D 104 157
I 42 82
D 24 6
D 154 164
I 13 96
D 199 182
I 27 106
D 193 187
D 98 124
I 104 175
I 185 166
D 38 174
I 190 18
D 62 107
D 141 29
I 172 177
D 127 52
D 19 155
D 159 61
D 174 78
I 160 121
I 133 143
D 60 88
D 28 60
I 79 66
I 5 69
D 7 98
D 165 61
D 134 66
I 59 93
I 10 144
D 186 65
D 165 140
I 110 147
I 6 35
I 196 124
D 41 44
I 160 59
D 191 181
D 129 114
I 103 196
D 197 137
D 152 120
I 5 179
D 186 77
I 174 14
I 17 169
D 79 163
I 53 159
I 40 57
I 163 198
D 74 41
I 186 55
I 87 81
I 39 159
I 33 148
I 15 194
D 131 77
D 169 151
D 169 157
D 128 89
I 197 131
D 9 138
D 106 132
I 77 36
I 193 77
D 90 124
I 146 44
D 40 21
I 116 3
D 71 9
I 61 47
I 0 33
D 86 84
D 47 30
D 181 179
I 93 148
D 143 8
D 142 3
D 40 146
D 151 133
D 138 135
D 28 187
I 176 72
I 192 103
D 190 102
I 186 168
D 14 12
D 20 50
D 59 146
I 50 128
D 111 101
D 45 15
D 51 187
I 117 0
D 152 82
I 171 157
D 152 82
I 82 66
I 12 78
D 83 139
D 41 30
D 12 123
I 107 71
D 84 198
I 104 28
D 45 89
I 1 84
I 99 123
I 31 168
D 141 29
I 109 115
D 65 188
I 82 197
D 0 4
D 91 48
I 23 55
D 166 197
I 95 79
D 85 181
D 5 190
I 7 110
I 105 50
I 187 8
I 79 128
D 39 101
I 87 38
I 64 22
I 15 103
I 188 25
I 0 95
D 122 196
I 149 104
I 47 110
D 36 164
D 145 27
I 186 18
D 186 132
I 100 194
D 70 10
I 85 114
D 53 31
D 158 31
I 172 100
D 98 42
I 64 127
D 121 43
I 25 168
D 25 169
D 172 138
D 131 108
D 63 115
I 79 10
I 11 20
D 97 11
I 128 152
I 54 110
I 80 20
I 72 7
I 24 58
I 72 175
D 187 96
I 147 122
I 197 162
D 85 194
I 75 67
D 169 66
I 59 87
I 9 86
D 144 157
I 9 38
D 152 12
D 73 156
I 183 107
I 127 0
D 192 156
D 181 115
I 28 110
D 47 108
I 23 60
I 148 15
D 169 8
I 62 101
D 47 178
I 170 86
I 148 30
D 2 166
I 97 57
D 173 188
I 185 41
I 121 90
D 31 86
I 131 98
I 7 29
I 183 132
I 115 179
I 137 102
D 29 148
I 88 65
I 161 195
D 144 29
I 143 75
D 7 0
I 106 77
D 180 43
D 168 188
I 197 118
D 126 21
I 111 191
I 102 41
D 137 126
D 161 109
D 165 161
D 5 191
D 21 131
D 144 129
D 125 25
D 22 190
I 111 172
D 115 55
I 20 81
I 32 124
D 99 118
I 42 21
I 60 131
D 148 96
I 134 70
D 0 25
D 112 191
I 54 78
I 137 100
I 82 167
I 72 111
I 133 166
I 186 73
D 73 86
I 63 113
D 116 173
I 179 28
I 186 188
I 133 74
D 129 95
I 196 108
I 30 179
D 101 129
I 86 142
D 84 166
I 70 6
D 165 161
D 199 196
D 135 55
I 164 184
I 58 172
I 115 126
I 89 108
D 127 29
D 100 147
I 64 45
I 159 135
D 11 0
D 69 123
I 174 21
I 186 131
D 9 75
I 26 199
I 155 16
I 117 125
D 151 40
D 191 38
I 17 65
D 11 64
D 191 157
I 134 178
I 59 31
I 48 30
I 159 84
D 199 122
D 151 100
I 114 55
D 22 123
D 144 51
I 25 191
D 199 58
D 29 120
D 43 67
D 19 155
D 111 118
D 59 29
D 28 2
D 177 119
D 191 38
I 39 51
D 29 143
D 138 90
I 72 132
D 159 9
I 10 94
I 176 9
D 41 63
D 24 7
I 171 175
D 127 55
I 119 107
D 5 48
D 145 27
I 43 54
D 142 111
D 21 73
D 25 125
D 118 99
D 2 159
I 98 15
D 51 24
I 26 116
I 82 14
D 35 153
I 49 71
I 185 78
I 73 124
D 145 119
D 56 14
D 76 24
D 83 82
I 2 80
D 185 149
I 141 186
D 82 175
D 78 43
D 142 16
I 166 144
D 90 187
D 43 67
I 137 31
I 54 42
I 105 73
I 117 101
I 113 174
D 179 49
D 40 21
D 11 4
I 139 13
D 100 122
D 197 47
I 135 181
D 30 177
D 42 81
I 48 63
I 66 185
I 109 13
I 167 152
D 169 25
I 60 174
I 13 25
D 88 197
I 159 65
I 21 185
I 181 40
D 19 128
D 28 126
D 17 123
D 156 99
I 13 178
D 171 152
I 73 8
D 82 151
D 154 16
D 91 162
I 7 42
D 58 56
I 117 81
I 89 2
I 162 7
I 196 151
I 127 80
D 13 192
I 81 180
I 90 127
D 131 139
I 194 184
I 117 141
D 71 190
I 181 141
D 23 96
D 115 80
D 185 82
I 137 69
D 49 170
I 86 163
D 120 104
I 144 37
D 34 116
D 35 153
D 90 124
I 160 155
D 86 83
D 176 109
I 74 21
I 146 140
I 194 96
D 135 24
I 163 74
I 11 36
I 41 29
I 117 54
I 121 67
I 48 109
D 80 115
I 131 121
D 72 8
D 10 40
D 35 106
I 0 33
I 86 10
I 12 149
D 149 110
D 97 179
D 187 73
D 159 195
D 62 117
I 135 97
D 128 5
I 79 54
I 163 73
D 29 45
D 2 165
D 30 86
I 27 74
I 57 108
D 5 41
I 152 38
D 99 163
I 96 29
I 26 155
I 75 183
I 104 20
D 178 20
D 166 184
I 93 166
I 148 187
D 144 116
I 54 39
D 160 21
I 35 33
I 102 152
D 123 120
I 157 181
I 128 71
D 148 38
D 195 187
I 163 74
I 6 128
D 16 0
I 115 158
I 43 128
D 58 114
I 116 146
I 126 47
D 18 45
I 4 113
I 147 48
I 183 61
D 49 132
I 86 64
D 57 102
D 120 123
D 74 93
I 31 156
I 141 113
I 120 36
D 7 132
D 28 189
I 3 35
I 184 81
I 108 162
I 128 164
D 107 70
D 99 78
B 1000
I 177 68
I 111 49
D 5 77
I 169 195
D 50 152
D 155 10
D 43 27
I 13 81
D 15 77
I 102 1
D 47 137
D 178 142
I 142 78
I 117 60
I 95 182
D 3 24
D 130 178
I 105 6
D 40 19
D 48 4
I 182 90
I 171 20
D 165 186
I 35 41
I 120 77
D 152 120
D 133 194
I 115 7
D 39 73
I 133 136
I 45 81
D 91 66
I 111 136
I 168 39
D 170 34
I 127 197
D 75 88
I 129 69
I 160 53
D 100 144
I 135 106
D 178 168
D 83 176
I 38 175
I 123 63
I 145 30
D 84 166
I 122 4
I 166 8
D 140 102
I 106 96
D 110 103
I 65 182
I 140 13
D 184 33
I 55 130
I 24 54
D 151 128
I 125 11
I 32 107
D 138 52
I 114 125
I 80 114
I 69 168
D 131 108
D 150 161
D 140 132
I 95 53
I 23 99
D 61 178
D 187 167
D 14 144
I 186 100
I 87 65
I 3 197
I 186 161
I 142 76
I 128 105
D 196 118
I 148 94
I 195 130
D 179 97
I 181 94
I 119 4
D 188 168
I 95 86
D 64 123
D 151 25
D 112 102
D 81 171
I 71 197
D 53 19
D 105 32
I 102 15
I 174 118
I 184 176
I 10 71
I 42 112
D 40 139
D 91 125
D 0 13
I 187 133
I 39 25
I 110 87
I 90 13
I 170 53
D 33 178
D 13 172
D 106 15
D 186 89
D 166 26
D 58 46
D 23 184
I 5 33
D 170 193
D 90 85
I 117 75
D 153 38
I 30 63
D 91 81
D 138 97
I 117 8
I 32 146
D 104 96
I 63 25
D 189 145
D 72 28
D 117 113
D 102 156
I 86 123
D 142 190
D 97 8
D 68 94
I 148 53
D 106 132
I 69 119
I 24 11
I 53 155
I 82 2
D 6 31
I 110 45
I 103 15
D 147 68
I 152 132
D 88 112
D 187 96
D 115 173
D 151 147
I 97 24
D 162 50
D 161 85
D 179 49
I 73 123
I 87 80
D 105 186
D 191 58
D 177 46
D 92 96
D 45 62
I 11 94
I 135 105
I 181 131
I 48 53
I 111 72
D 178 20
I 10 1
I 0 87
D 42 24
I 54 1
I 36 60
D 134 191
D 127 136
D 98 62
I 77 179
D 98 53
I 20 191
I 29 160
I 28 43
D 47 148
I 54 140
D 86 165
D 165 161
D 118 199
D 82 74
I 10 69
I 155 3
D 135 24
I 154 155
I 82 149
I 61 199
D 130 177
I 160 113
D 69 163
D 81 6
I 176 156
D 11 99
I 24 121
D 49 170
I 18 34
I 74 185
I 1 80
I 121 123
D 81 69
I 104 56
D 173 116
I 164 194
D 6 79
D 120 95
D 169 59
D 38 127
D 172 183
D 98 114
D 97 138
D 3 1
I 67 61
I 81 99
D 80 160
D 35 185
I 192 153
I 31 56
D 6 141
D 190 65
I 170 79
I 35 71
I 170 99
D 188 152
I 128 169
D 142 49
D 146 75
I 137 7
I 188 3
D 155 123
I 153 57
D 48 46
I 60 111
D 53 127
I 155 87
D 148 42
D 143 42
D 81 74
I 80 189
I 13 60
D 63 177
D 162 28
D 111 183
I 17 54
I 45 2
D 63 195
I 156 120
I 60 163
D 25 44
D 76 3
D 110 103
D 8 104
D 174 6
D 121 110
D 5 17
I 147 11
I 177 115
I 76 35
I 28 85
I 172 44
I 56 60
D 175 132
I 160 130
D 97 149
I 136 185
I 12 182
D 119 49
I 47 150
D 17 122
I 196 34
I 23 166
I 89 143
D 169 109
D 97 46
D 149 187
I 32 146
D 79 110
D 56 171
D 192 180
D 139 138
D 33 115
D 133 95
I 41 102
D 189 28
D 93 113
D 97 179
D 79 27
I 109 67
D 22 169
I 90 160
I 124 12
D 115 181
I 187 118
D 43 106
I 118 7
I 70 17
D 19 155
D 151 37
I 101 24
I 169 143
I 122 105
I 16 24
I 158 142
I 73 109
D 123 82
D 114 113
I 28 172
I 7 160
I 168 127
D 155 42
I 20 107
D 8 0
I 183 88
I 171 142
I 124 52
I 99 165
D 69 147
D 71 54
D 187 45
I 39 180
I 10 193
I 42 130
I 118 162
D 12 23
I 181 63
D 191 184
I 194 26
D 77 9
D 88 25
I 33 49
D 74 12
I 139 34
D 95 51
D 132 106
D 25 136
I 8 43
D 19 179
D 56 8
I 182 1
D 5 197
I 145 95
I 71 164
D 149 97
I 90 123
D 70 107
D 54 56
D 193 86
D 90 137
D 153 101
D 120 39
I 187 62
I 83 62
I 110 88
D 109 149
I 139 149
D 145 115
I 169 178
D 122 195
I 193 139
D 11 21
D 84 74
D 118 3
I 17 27
I 13 193
I 52 39
I 132 161
I 115 167
D 181 88
D 3 103
I 175 28
D 199 19
I 22 25
D 121 193
I 39 182
D 139 196
D 61 73
I 70 47
I 25 99
D 83 151
I 93 41
D 6 23
I 107 139
D 194 6
I 22 104
I 144 74
D 57 60
I 16 22
I 164 185
I 125 184
I 95 22
D 149 185
D 97 198
I 93 12
I 80 127
I 128 65
D 161 185
I 36 17
I 89 193
D 29 143
I 80 11
D 7 100
I 25 194
I 70 90
D 159 197
D 18 9
I 69 95
D 105 43
D 143 100
D 95 132
I 196 83
D 36 39
D 129 29
I 34 67
I 31 2
I 149 67
D 20 42
I 110 0
I 104 180
I 55 84
D 190 148
I 95 79
I 66 101
D 166 146
D 90 85
D 94 16
I 69 167
D 84 34
I 46 131
I 148 77
I 140 124
D 104 63
D 56 44
I 180 152
I 105 54
D 25 48
I 178 50
I 127 190
I 181 29
I 192 6
D 51 3
D 192 51
I 120 51
D 64 40
D 61 168
I 49 156
D 158 12
I 190 7
I 89 126
D 21 51
I 59 149
D 83 25
D 120 95
I 19 111
I 132 29
I 118 80
D 130 162
I 70 67
I 96 45
D 35 29
I 10 198
I 76 195
D 3 27
I 75 7
D 132 140
I 14 167
I 137 127
I 108 101
D 43 90
D 164 8
D 106 94
I 6 132
I 126 193
I 147 81
D 97 119
D 89 124
I 194 182
I 116 29
I 65 129
I 164 84
I 6 77
I 178 44
D 174 192
D 78 57
I 63 116
I 60 65
D 179 90
D 159 179
I 82 126
I 76 50
I 125 196
D 152 12
D 158 191
D 82 45
I 93 99
I 63 191
I 44 179
I 192 77
D 187 31
D 108 146
D 94 16
D 51 23
I 88 12
I 88 141
I 152 15
I 31 149
I 81 34
I 75 101
I 52 174
I 195 108
D 25 34
D 20 48
I 127 16
I 80 39
I 4 9
I 77 160
I 7 195
I 129 31
D 104 109
I 70 26
I 112 77
D 59 29
D 98 113
I 105 55
I 129 39
D 134 93
D 107 19
I 51 92
D 24 159
I 134 84
D 112 19
D 88 125
D 112 19
I 58 123
I 138 63
I 178 104
I 52 95
I 99 188
D 26 99
I 129 109
I 199 15
I 162 35
I 160 69
I 114 146
D 178 146
I 184 164
I 13 34
D 106 163
I 34 127
I 94 88
D 122 61
I 119 64
I 118 140
I 198 24
D 128 193
D 57 175
I 160 39
I 179 126
I 148 142
I 90 166
I 173 68
D 151 25
I 122 50
D 72 145
I 99 89
I 31 97
I 163 50
I 63 71
D 114 83
D 120 29
I 93 141
I 0 152
I 115 50
D 150 161
I 92 199
D 48 191
I 167 49
I 82 192
D 156 84
I 117 100
D 80 129
I 19 13
I 175 122
I 105 132
D 59 26
I 28 137
I 99 68
I 34 167
D 28 187
I 90 42
I 44 98
I 149 116
D 78 72
I 172 93
D 156 66
D 191 134
D 185 34
I 4 61
D 47 31
I 158 123
I 134 74
I 102 106
I 95 68
I 54 112
D 4 108
D 105 96
D 92 59
D 16 111
D 38 91
I 28 118
I 113 50
I 184 114
I 175 110
D 121 110
I 180 172
D 117 103
D 145 111
D 122 61
D 165 190
D 190 142
D 25 55
I 18 61
I 128 100
I 112 76
I 193 104
D 169 27
I 16 138
D 157 185
I 0 165
D 170 55
I 88 53
I 181 54
D 129 193
D 32 91
D 46 72
D 23 116
I 164 54
D 124 43
I 135 173
I 39 20
D 80 133
D 54 58
I 152 36
I 81 110
I 120 192
I 121 68
D 144 29
D 173 136
I 101 189
I 122 161
D 165 141
I 28 23
I 67 87
I 149 44
D 79 51
I 34 62
D 185 157
D 151 3
D 50 190
I 99 158
D 57 102
D 146 174
I 137 46
D 14 105
I 32 104
D 68 93
I 56 144
I 31 150
D 3 1
D 133 197
I 182 96
I 48 21
I 63 23
I 100 171
D 187 3
I 112 6
D 134 191
I 34 153
I 61 45
D 27 119
I 178 53
I 146 17
I 187 63
I 199 172
D 108 33
I 183 78
D 6 16
D 4 46
D 199 79
I 66 85
D 1 14
D 18 195
D 143 155
D 124 89
D 124 46
I 152 32
I 140 94
D 193 50
D 115 33
D 59 68
I 84 191
D 69 112
I 147 169
I 114 138
I 67 173
D 16 48
I 151 85
D 36 31
D 16 184
I 25 69
I 21 55
I 155 100
I 103 34
I 185 71
D 11 97
I 179 31
I 186 66
D 181 180
I 94 145
D 190 196
D 151 149
D 132 111
I 25 105
I 8 7
I 170 1
I 133 53
I 147 34
I 128 162
I 93 42
I 37 32
I 158 77
I 133 142
I 192 139
D 134 67
D 72 28
D 185 69
I 184 139
I 180 141
I 119 38
I 134 88
I 21 190
I 185 68
D 34 20
I 166 68
D 66 6
D 124 131
I 140 33
D 68 139
I 41 109
I 34 155
I 183 56
I 176 174
D 20 45
D 28 17
I 67 133
D 9 194
I 99 180
D 189 122
D 122 196
D 119 53
D 171 165
D 36 1
D 46 124
D 106 169
I 195 124
D 25 34
I 112 141
I 95 156
D 99 38
I 74 104
I 48 106
D 64 99
I 22 29
I 27 126
I 20 145
I 191 70
I 36 184
I 136 67
D 25 151
I 28 73
D 34 158
I 117 1
D 125 144
D 31 120
D 134 191
I 126 5
D 178 132
I 130 180
I 61 38
D 36 67
D 30 64
D 106 109
I 73 79
D 116 17
D 101 118
D 112 174
I 0 171
D 145 36
D 50 42
D 154 89
I 93 59
D 16 122
D 46 132
I 37 46
D 109 34
I 39 167
D 71 40
I 11 155
I 88 78
D 137 39
D 71 47
D 157 122
I 186 156
I 3 134
I 52 29
D 30 142
D 92 59
D 147 14
I 121 198
I 167 10
D 158 22
D 111 15
D 80 137
D 187 51
I 55 198
I 117 163
I 2 114
D 119 22
D 97 83
D 48 125
D 51 82
D 69 127
I 71 84
I 113 148
D 27 2
I 85 119
I 36 111
I 1 120
D 170 193
D 154 98
I 93 127
I 129 60
I 114 88
D 37 27
I 192 83
D 49 16
D 72 8
D 185 3
D 29 71
D 154 13
D 165 124
D 31 144
I 85 130
D 162 23
I 20 81
I 56 168
I 23 26
I 114 146
D 107 165
I 98 58
I 141 51
I 60 133
D 66 19
I 185 19
D 112 170
I 33 71
D 131 119
I 89 73
D 199 196
D 183 197
D 192 106
D 184 191
D 131 76
D 115 80
D 26 32
I 27 94
I 143 183
D 63 97
D 109 55
D 139 135
D 188 144
I 104 142
D 48 76
D 62 42
I 174 132
D 50 172
D 32 19
D 115 153
D 72 122
D 23 191
D 84 150
D 74 81
I 164 10
I 82 20
D 138 97
D 48 12
I 17 63
I 111 123
D 110 36
D 52 152
I 178 90
D 9 179
D 177 79
D 186 38
D 52 113
D 151 45
I 21 199
I 134 35
D 143 157
D 186 105
D 44 161
I 76 81
I 131 118
I 63 18
I 147 7
D 167 110
I 47 50
D 40 103
I 157 73
I 23 73
I 62 43
I 155 118
D 182 105
I 36 44
D 148 164
D 113 91
D 177 182
D 108 11
I 112 136
D 5 133
I 5 67
D 4 83
I 102 103
D 176 6
D 76 67
D 65 73
I 130 66
I 155 15
I 30 143
I 147 175
D 150 24
D 126 120
I 139 15
I 3 190
I 183 25
I 15 40
I 100 47
I 39 56
I 46 44
D 184 11
I 25 4
I 13 45
I 54 82
D 171 75
D 86 90
I 134 146
I 81 164
I 128 1
I 112 147
D 95 134
I 151 96
D 93 84
D 26 94
D 199 58
I 172 63
D 56 20
D 98 113
D 82 9
D 72 82
I 26 128
D 32 55
D 69 192
I 122 97
I 70 76
I 176 159
I 183 143
D 106 129
D 145 39
I 18 162
I 18 188
I 128 113
I 107 174
D 82 123
D 60 144
I 197 20
I 157 99
D 194 6
D 83 94
D 144 68
D 57 182
D 159 150
I 152 10
D 130 177
D 121 3
D 98 66
I 14 83
I 67 119
D 71 65
I 55 18
B 1000
D 49 1
I 109 76
I 156 138
I 95 104
D 171 127
D 57 100
I 85 117
D 58 139
D 85 89
D 171 48
I 92 47
D 23 97
D 129 43
D 36 183
I 89 4
I 168 149
I 81 128
I 158 190
D 171 72
I 122 84
D 140 29
D 187 16
D 167 32
I 50 179
I 178 110
D 113 98
D 99 78
D 136 146
I 193 52
I 49 133
D 0 14
I 166 174
I 199 195
D 96 86
D 37 7
D 15 99
I 84 161
I 184 109
I 105 66
D 187 153
I 74 58
I 54 199
I 55 123
I 31 88
I 80 188
D 48 116
I 11 34
I 135 14
D 22 46
D 5 133
D 66 37
I 102 125
I 189 131
D 166 61
I 29 160
I 186 153
D 163 64
D 116 48
I 153 26
I 180 80
I 151 144
D 123 164
I 182 128
D 153 166
D 59 148
I 38 61
D 156 181
I 194 173
D 172 51
D 193 181
D 109 8
I 4 199
D 45 3
D 122 86
D 159 112
I 102 192
I 58 154
D 138 182
I 192 148
D 119 39
D 96 31
D 177 182
I 64 2
D 46 132
I 26 158
I 116 120
D 29 45
D 21 116
D 27 145
I 15 53
I 198 192
I 20 196
I 196 116
I 46 133
I 14 83
D 18 9
D 78 195
D 59 81
I 148 156
D 113 78
D 47 137
I 40 77
I 157 80
D 135 15
D 12 30
D 171 167
I 178 63
D 81 171
D 9 144
D 175 46
D 25 181
I 149 167
I 99 72
D 192 143
I 155 192
I 171 197
I 135 68
D 103 94
D 89 56
I 139 100
D 109 4
D 103 27
D 175 67
I 140 101
D 95 139
D 100 102
D 116 18
D 153 194
D 18 143
I 35 91
I 148 41
I 175 66
I 82 171
D 17 28
I 113 188
D 197 111
I 59 173
I 38 34
D 11 92
D 19 127
D 16 184
D 75 44
D 31 61
D 193 100
I 188 62
D 193 146
I 4 185
I 118 167
I 33 118
I 177 38
I 92 64
D 34 143
D 112 137
D 4 52
D 125 45
I 126 22
D 93 28
D 71 195
D 59 56
I 4 78
I 11 167
I 28 134
I 122 197
D 60 28
I 144 120
I 22 79
I 141 194
D 175 188
D 157 177
I 116 98
D 161 114
I 139 61
D 174 55
D 197 49
I 87 93
D 120 141
I 144 117
D 130 182
D 121 102
D 40 21
D 47 30
I 41 6
D 48 149
D 78 193
I 178 195
I 148 66
D 152 84
D 24 70
D 121 77
I 171 153
D 40 180
D 100 45
I 89 120
I 32 154
I 0 49
D 85 142
D 51 158
I 129 96
I 16 23
D 107 164
D 7 2
I 142 13
D 119 53
I 96 89
I 85 132
I 111 0
D 10 44
D 165 46
I 51 123
I 10 171
D 58 199
I 177 1
D 86 93
D 72 8
D 166 162
D 151 166
D 76 194
D 66 83
I 191 24
I 93 13
I 183 7
I 97 40
D 154 18
I 95 121
I 66 150
I 16 31
I 51 194
D 37 145
D 88 151
D 176 129
I 34 141
D 147 82
I 18 165
I 12 136
I 22 54
D 60 28
I 137 175
I 21 152
I 49 74
D 67 76
D 186 196
D 144 100
D 187 195
I 74 183
D 78 20
I 125 7
I 109 32
I 119 183
I 125 100
D 48 129
D 169 80
I 128 180
I 136 21
D 73 108
D 109 136
D 83 53
I 6 163
D 58 191
D 115 63
I 5 7
I 192 125
D 108 148
I 176 189
I 95 179
I 4 136
D 106 169
D 101 195
I 197 40
I 130 142
I 42 197
I 104 19
I 13 59
I 133 38
D 38 74
I 92 50
I 183 138
D 143 42
I 151 53
I 50 93
D 98 66
I 181 10
I 120 19
D 141 37
I 86 67
I 176 46
D 195 101
D 77 15
I 54 144
I 145 3
I 137 49
D 119 115
I 186 33
I 69 9
I 86 174
I 43 182
D 67 103
I 61 156
D 62 184
D 64 40
D 138 109
D 84 34
D 29 59
I 172 193
D 160 55
D 171 159
I 76 143
I 117 140
D 5 41
D 0 5
D 84 45
I 184 27
D 80 119
D 74 84
I 7 93
D 127 159
I 52 105
I 139 48
I 53 76
I 128 105
D 160 80
D 123 120
D 77 180
I 130 74
D 175 56
I 184 141
I 19 133
D 82 24
I 127 47
I 1 157
D 2 166
